bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
1.423383999999999977e-03,1.150889000000000019e-04,7.382436999999999940e-04,3.452665999999999987e-05,9.262747999999999902e-05,2.300000000000000000e+01,1.978379169600000012e+02,-1.463107900300000042e+00,1.978379170000000045e+02,-1.463107900000000017e+00,2.177999999999999936e+00,9.619999999999999662e-01
3.733976999999999978e-04,6.089931000000000223e-05,7.421272000000000459e-04,3.452665999999999987e-05,7.016520000000000374e-05,6.000000000000000000e+00,1.978415209100000141e+02,-1.468714410700000084e+00,1.978415209000000061e+02,-1.468714400000000087e+00,8.960000000000000187e-01,5.310000000000000275e-01
3.629727999999999817e-04,6.089931000000000223e-05,7.350142999999999737e-04,3.452665999999999987e-05,9.101682000000000045e-05,5.000000000000000000e+00,1.978304525400000102e+02,-1.451837769499999986e+00,1.978304525000000069e+02,-1.451837800000000067e+00,7.439999999999999947e-01,6.600000000000000311e-01
1.337833000000000078e-03,1.054806999999999945e-04,7.393497999999999867e-04,3.452665999999999987e-05,1.137659000000000012e-04,1.800000000000000000e+01,1.978392424699999879e+02,-1.464679730100000077e+00,1.978392425000000117e+02,-1.464679700000000029e+00,1.389000000000000012e+00,1.020000000000000018e+00
3.096877000000000050e-03,1.437459999999999888e-04,7.362068000000000475e-04,3.452665999999999987e-05,2.127819000000000032e-04,3.700000000000000000e+01,1.978358565700000042e+02,-1.458728695200000036e+00,1.978358565999999996e+02,-1.458728699999999989e+00,1.635000000000000009e+00,1.516000000000000014e+00
7.135013999999999853e-04,8.299177000000000518e-05,7.383722000000000115e-04,3.452665999999999987e-05,8.774997000000000309e-05,1.000000000000000000e+01,1.978389427399999931e+02,-1.463579196800000037e+00,1.978389426999999898e+02,-1.463579200000000080e+00,1.243999999999999995e+00,7.950000000000000400e-01
2.745512999999999882e-04,5.146930999999999934e-05,7.347483000000000139e-04,3.452665999999999987e-05,7.422198999999999442e-05,5.000000000000000000e+00,1.978293347400000073e+02,-1.448562664200000016e+00,1.978293347000000040e+02,-1.448562700000000092e+00,7.630000000000000115e-01,4.460000000000000075e-01
2.840914999999999955e-04,5.146930999999999934e-05,7.368146000000000114e-04,3.452665999999999987e-05,6.921251999999999645e-05,4.000000000000000000e+00,1.978369546899999989e+02,-1.459901005699999921e+00,1.978369547000000068e+02,-1.459900999999999893e+00,7.520000000000000018e-01,4.420000000000000040e-01
1.590978000000000054e-03,1.281575999999999874e-04,7.389560999999999569e-04,3.452665999999999987e-05,9.890617000000000310e-05,2.600000000000000000e+01,1.978406991699999935e+02,-1.464108136399999927e+00,1.978406991999999889e+02,-1.464108100000000023e+00,2.201000000000000068e+00,1.256999999999999895e+00
6.684326000000000417e-04,8.299177000000000518e-05,7.413979999999999919e-04,3.452665999999999987e-05,7.279013999999999558e-05,1.100000000000000000e+01,1.978425934100000063e+02,-1.467824593600000060e+00,1.978425933999999984e+02,-1.467824599999999924e+00,1.038999999999999924e+00,9.060000000000000275e-01
9.988313999999999873e-03,2.301778000000000038e-04,7.432830999999999987e-04,3.452665999999999987e-05,4.060409000000000175e-04,9.200000000000000000e+01,1.978469890300000031e+02,-1.472915601399999996e+00,1.978469890000000078e+02,-1.472915600000000103e+00,2.821000000000000174e+00,2.007000000000000117e+00
3.270815000000000159e-04,5.146930999999999934e-05,7.358980000000000209e-04,3.452665999999999987e-05,1.022858999999999959e-04,5.000000000000000000e+00,1.978357979099999966e+02,-1.457379660600000015e+00,1.978357978999999887e+02,-1.457379699999999945e+00,7.530000000000000027e-01,4.470000000000000084e-01
2.601626000000000112e-03,1.437459999999999888e-04,7.350221000000000315e-04,3.452665999999999987e-05,1.454088000000000028e-04,3.600000000000000000e+01,1.978310555299999862e+02,-1.449000455900000039e+00,1.978310554999999908e+02,-1.449000499999999914e+00,1.798000000000000043e+00,1.445000000000000062e+00
2.772260000000000002e-02,4.091729000000000004e-04,7.336232000000000473e-04,3.452665999999999987e-05,2.907551999999999771e-04,2.720000000000000000e+02,1.978272858699999972e+02,-1.441050086199999969e+00,1.978272858999999926e+02,-1.441050100000000000e+00,6.426999999999999602e+00,2.794999999999999929e+00
8.842281999999999920e-04,8.914745999999999706e-05,7.389852000000000139e-04,3.452665999999999987e-05,9.711838000000000035e-05,1.300000000000000000e+01,1.978410152399999902e+02,-1.464138024799999993e+00,1.978410151999999869e+02,-1.464137999999999940e+00,1.405999999999999917e+00,8.880000000000000115e-01
3.337346999999999948e-04,5.638180999999999678e-05,7.370668999999999615e-04,3.452665999999999987e-05,6.570877000000000141e-05,6.000000000000000000e+00,1.978383270200000084e+02,-1.460417353400000007e+00,1.978383269999999925e+02,-1.460417400000000088e+00,1.048000000000000043e+00,4.060000000000000275e-01
